url,playlistName,saves,playlistOwner,playlistOwnerProfile
https://open.spotify.com/playlist/3w9THUphE7mxegKlyzOaLv,POV UR FALLING IN LOVE🎀💌,"21,783 saves",🦞KAYLEE🦞,https://open.spotify.com/user/31ass4kdoexgr7dqhsdqln2d4y5y
https://open.spotify.com/playlist/1L0iYxDVjkvyaA82GUL0ly,Techno Remix 2024 | Songs from TikTok,"30,637 saves",Filtr Germany,https://open.spotify.com/user/playlists.germany
https://open.spotify.com/playlist/72FdsweCiOlp4BXdRrUq58,Pop Inglés 🌼 (2024 & 2020s & 2010s) Música En Inglés 2010s Hits,"366,571 saves",Filtr Éxitos,https://open.spotify.com/user/mejoresplaylistsspotify
https://open.spotify.com/playlist/1siqCRQYazUklCZCJJyJI4,30 Top Hits Lagu Barat 2024,"61,474 saves",London Grams,https://open.spotify.com/user/sna84jp8nqr380zzj9orx11zw
https://open.spotify.com/playlist/1BUJp5GOjd5XDxQe4BAzz9,Música triste en inglés ❤️‍🩹,"25,162 saves",Jesus Mendoza,https://open.spotify.com/user/31fo4lkwmp3uisg4s2skeqr3dgrm
https://open.spotify.com/playlist/4M15GCYGiWvu3PyzCCuAEY,RUNNING TECHNO 🏃‍♀️ Beats to Run - 180 bpm Motivation Music 2024,"36,727 saves",B1,https://open.spotify.com/user/31b4yrn56iysulvsvzqlq3e7ytp4
https://open.spotify.com/playlist/6xYeqwnaK21w4pVvcY28KV,mlbb + spotify (sad),"5,513 saves",handessp,https://open.spotify.com/user/bfc49lzbxmtqve727tnq6ka81
https://open.spotify.com/playlist/5xVl2a5gQ33zJieWRTeGCy,je te laisserai des mots vibes ♡,"36,312 saves",imms🍜🐚,https://open.spotify.com/user/vt5ix13bkf0moevc7p10037ab
https://open.spotify.com/playlist/5irzXdNeeKc0Dg3UK4Ww6n,Sad songs everyone knows 😢🎵,"59,480 saves",Calm Radio,https://open.spotify.com/user/p8i783maagp01g0lca7jqk8wo
https://open.spotify.com/playlist/5EwfCDWx2TrZ0qa3xXixUS,"Clean Pop Hits 2024 🍬 Clean Hits 2023, 2022, 2021 & 2020s🍬","180,767 saves",indiemono,https://open.spotify.com/user/sanik007
https://open.spotify.com/playlist/2reT6fDGNUKdfRPAmJo1gG,Pra ACALMAR a mente & o coração 💙,"11,434 saves",Nathalie Miranda,https://open.spotify.com/user/nah_mr
https://open.spotify.com/playlist/4jpIvX6eyLzyRg4uL3TUfe,MÚSICA PARA TIENDAS 2024 👜,"40,673 saves",London Grams,https://open.spotify.com/user/sna84jp8nqr380zzj9orx11zw
https://open.spotify.com/playlist/4ARhwf75lsNra3UD9KIYPy,Acoustic Hits 2024,"59,501 saves",Gabriel Almeida,https://open.spotify.com/user/gabrielsjbv
https://open.spotify.com/playlist/3BnhVf03cMI7vvJnbaVcpv,Lagu Sad Inggris+Indonesia fyp tiktok,"19,108 saves",loving yourself is better,https://open.spotify.com/user/31vhwjjclt6emnwc4bwg5plwor7i
https://open.spotify.com/playlist/37i9dQZF1DX9Bom9R0tCgx,Bass Explosion,"390,693 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/0SRdjSDz4RsuozwHv1zhvr,Best TikTok Viral Songs 2024 ⚡️,"239,820 saves",Kalon Records,https://open.spotify.com/user/boxoyvip
https://open.spotify.com/playlist/0wdmsfiZfYPFDvtrUq9jW4,Sad Slowed + Reverbed Tiktok Songs 😔,"48,930 saves",RP,https://open.spotify.com/user/3xin07wp5zh4ip27t2qjqe1uq
https://open.spotify.com/playlist/37i9dQZF1DWVsh2vXzlKFb,Summer Indie,""564,589 saves",bebelle 🩵,https://open.spotify.com/user/fpyghei3nnl0husokutvj90d0
https://open.spotify.com/playlist/7Mbdd8Y0tpHgX0w4CtPkFf,royel otis — linger,"4,636 saves",just ahkas,https://open.spotify.com/user/vasakhi
https://open.spotify.com/playlist/37i9dQZF1DWVqJMsgEN0F4,ALT NOW,"602,401 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DWZq91oLsHZvy,Indie Running,"696,915 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DX8eMyhtzAuvp,sweet september,"251,517 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DXad2sxzzYX1N,Indie that hits different,"496,832 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DXb9izPIc0SCS,Indie Rock Hits,"694,604 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DXe3Jzj3uus9u,Viral Hits Philippines,"725,914 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DX2ogDiL6nZJr,Van Life,"801,613 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/4SWt6k4KUSNzmgRtCTzOKM,TIK TOK 2024 ⚡⚡ SEPTEMBER 2024,"307,955 saves",partyfiesta!,https://open.spotify.com/user/partyfiesta%21
https://open.spotify.com/playlist/37i9dQZF1DX8fxXxctv5B2,Coastal Drive,"180,821 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DWWM6GBnxtToT,Feelgood Indie,"591,263 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DX4gWghK0svuI,Cottage Days,"45,919 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DWY6UWUOwj4BO,Hit Acoustique,"245,620 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DXbO6rt3GhXDY,Indie Pop Hits,"149,230 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DX5WTH49Vcnqp,Front Left,"566,876 saves",Spotify,https://open.spotify.com/user/spotify
https://open.spotify.com/playlist/37i9dQZF1DWSDCcNkUu5tr,The Office Stereo,"163,821 saves",Spotify,https://open.spotify.com/user/spotify
