url,playlistName,saves,playlistOwnerProfile,playlistOwner
https://open.spotify.com/playlist/37i9dQZF1DZ06evO1ahqM0,This Is USHER,"367,593 saves",https://open.spotify.com/user/spotify,Spotify
https://open.spotify.com/playlist/37i9dQZF1DWSWyJydK4fTU,Top of the Morning,"640,844 saves""url,playlistName,saves
https://open.spotify.com/playlist/4h9dvquufDVDyGuYRHeu73,2000 R&B Hits - Top R&B 2000s Songs (R&B 00s Popular Songs),""226,148 saves",https://open.spotify.com/user/spotify,Spotify
https://open.spotify.com/playlist/0whWWNcAlFitbHMFFUIIyp,LOVE KEYSHIA COLE,"14,947 saves",https://open.spotify.com/user/uddpvkzaeetm75ay7mw9pgh1z,Its_raffou
https://open.spotify.com/playlist/1Un3LO8nHO3QIp74fdlIRo,Keyshia Cole Greatest Hits,"3,988 saves",https://open.spotify.com/user/gregbodenlos,Greg
https://open.spotify.com/playlist/37i9dQZF1DZ06evO0PD73O,This Is Keyshia Cole,"48,807 saves",https://open.spotify.com/user/spotify,Spotify
https://open.spotify.com/playlist/2rP7cjH0aGECdyRWyK3PcC,BLACK ANTIGOS 2000'S | SÓ OS MELHORES 💎,"42,277 saves",https://open.spotify.com/user/sandrohiroshi,Sandro Hiroshi
https://open.spotify.com/playlist/37i9dQZF1DWYiatDTQvsFP,mid:nite storm,"576,706 saves",https://open.spotify.com/user/spotify,Spotify
https://open.spotify.com/playlist/37i9dQZF1DX1wNY9tfWQsS,,"592,303 saves",,undefined
https://open.spotify.com/playlist/7kPPwcLvMqJT9iaVG8z2bv,2000s R&B & Hip-Hop Playlist,"285,163 saves",https://open.spotify.com/user/ricoo97,Miranda Sullivan
https://open.spotify.com/playlist/6kthdfbq97PF7JpANEZgrM,HIP HOP DAS ANTIGAS // AS MAIS ESCUTADAS DOS ANOS 2000 🔥🎼,"65,124 saves",https://open.spotify.com/user/31p3f5eizbzbonjak76phkoaxieq,Erick musico
https://open.spotify.com/playlist/37i9dQZF1DWX9mGYsaqc7V,Slow Jamz,"430,933 saves",https://open.spotify.com/user/spotify,Spotify
https://open.spotify.com/playlist/37i9dQZF1DXaPeYMCDRQeg,Love Language,"330,603 saves",https://open.spotify.com/user/spotify,Spotify
https://open.spotify.com/playlist/7vcFqDwPceXY7qqFgRJaHe,calm playlist 🤗🫂.,"5,911 saves",https://open.spotify.com/user/312ilxr7u6f57qyexhxbxbtcjbsu,avee🤗!!
https://open.spotify.com/playlist/37i9dQZF1DWTUHzPOW6Jl7,Energy Booster: R&B,"641,208 saves",https://open.spotify.com/user/spotify,Spotify
https://open.spotify.com/playlist/5M6kRYsw1kqzXTaCctkUGc,Love songs,"14,656 saves",https://open.spotify.com/user/31bjd7fy4kjrewhhnyw6j3bf7rue,Kay
https://open.spotify.com/playlist/0taVBprATcKAIKbnzw5GWx,Love song internacional,"14,065 saves",https://open.spotify.com/user/0cjiyrvtmjkmylmbiaafei8zx,KF
https://open.spotify.com/playlist/3NP0xGr6G3ah05np9ZslEg,90’s - 2000’s throwbacks 🦋,"117,507 saves",https://open.spotify.com/user/vazquezmichelle0012,shelllsss
https://open.spotify.com/playlist/52uT9ax72xlZ6mztpkLmEJ,2000s throwbacks ⋆☆ y2k party,"19,147 saves",https://open.spotify.com/user/1270212500,@ashleyjohnsonn
https://open.spotify.com/playlist/0U9UwN25NraeKI6eq8tgEW,genggeng pero expensive,"24,015 saves",https://open.spotify.com/user/31kigygpbfyfas5ir7nb54nl6wla,gf ni hanibanch
https://open.spotify.com/playlist/37i9dQZF1DXdGHPXiRsW3u,Soft 00s,"818,857 saves",https://open.spotify.com/user/spotify,Spotify
https://open.spotify.com/playlist/1R4N31p6ibPsrLplHeGVYk,,"10,535 saves",,undefined
https://open.spotify.com/playlist/5pk7cWIp56YkrwyWU7eMTr,2000s Hip Hop R&B - Top Hip Hop and R&B Songs 2000s (Playlist Updated in 2024),"18,571 saves",https://open.spotify.com/user/mg14jl14tabxkiz10eifwgz8z,Redlist - Fresh Charts
https://open.spotify.com/playlist/2wjdNzVqTL0tDyIaWJQVqG,Best Of 2000's,"68,687 saves",https://open.spotify.com/user/best-of-the-best,Best Of The Best
https://open.spotify.com/playlist/37i9dQZF1DZ06evO1rPgfC,This Is Missy Elliott,"109,985 saves",https://open.spotify.com/user/spotify,Spotify
https://open.spotify.com/playlist/63aOMpGXakIizfhsXu6p9E,Chill songs,"9,459 saves",https://open.spotify.com/user/21x7vq5drwcenyjdxtuqk7teq,Lee Andrew Dumaguing
https://open.spotify.com/playlist/37i9dQZF1DWYPhtvsbr1Fn,reheat,"119,160 saves",https://open.spotify.com/user/spotify,Spotify
https://open.spotify.com/playlist/2zrH75nfqPyy1QGQrCSlmA,lovee ♥️,"33,462 saves",https://open.spotify.com/user/xd2l2mz11akqmvnx0la0q50ag,🫶Anaya🫶
https://open.spotify.com/playlist/7s17jTD83GgeKajAMogIen,R&B Throwbacks 90s & 00s,"158,517 saves",https://open.spotify.com/user/12145397198,Hudson Helms
https://open.spotify.com/playlist/43JPgZcpj5QXRvaXMILUre,Black das Antigas 💥 Só As Melhores,"5,850 saves",https://open.spotify.com/user/daniniel13,Daniel Marin
https://open.spotify.com/playlist/7oKfi7K8WUOetawBJGuUNV,Clean Work Playlist (90s-2023) original 😎,"23,507 saves",https://open.spotify.com/user/benny27zhang,Benny
https://open.spotify.com/playlist/6cuAKgQGOF60f2Q8QjKWia,mga thirst trap ng mga soft masc sa tiktok,"10,334 saves",https://open.spotify.com/user/22rmc3lpxtr4fov2c6lprfeei,noellemaxinne
https://open.spotify.com/playlist/0hKn6SLPULMzOGBiIrFP4W,❤️ Best of 90's Rnb Slow Jams ❤️,"15,214 saves",https://open.spotify.com/user/1256576262,DJ Amor
